
========== Nova Sessao ==========
Data/Hora: Fri Feb 13 23:39:22 2026
===================================

[23:39:23] Pacote #1: 119 bytes capturados, 119 bytes no fio
[23:39:23] Pacote #2: 66 bytes capturados, 66 bytes no fio
[23:39:23] Pacote #3: 107 bytes capturados, 107 bytes no fio
[23:39:23] Pacote #4: 148 bytes capturados, 148 bytes no fio
[23:39:23] Pacote #5: 108 bytes capturados, 108 bytes no fio
[23:39:23] Pacote #6: 66 bytes capturados, 66 bytes no fio
[23:39:23] Pacote #7: 66 bytes capturados, 66 bytes no fio
[23:39:23] Pacote #8: 66 bytes capturados, 66 bytes no fio
[23:39:23] Pacote #9: 94 bytes capturados, 94 bytes no fio
[23:39:23] Pacote #10: 102 bytes capturados, 102 bytes no fio
[23:39:24] Pacote #11: 107 bytes capturados, 107 bytes no fio
[23:39:24] Pacote #12: 127 bytes capturados, 127 bytes no fio
[23:39:24] Pacote #13: 94 bytes capturados, 94 bytes no fio
[23:39:25] Pacote #14: 1490 bytes capturados, 1490 bytes no fio
[23:39:25] Pacote #15: 1490 bytes capturados, 1490 bytes no fio
[23:39:25] Pacote #16: 1490 bytes capturados, 1490 bytes no fio
[23:39:25] Pacote #17: 1490 bytes capturados, 1490 bytes no fio
[23:39:25] Pacote #18: 1494 bytes capturados, 1494 bytes no fio
[23:39:25] Pacote #19: 1494 bytes capturados, 1494 bytes no fio
[23:39:25] Pacote #20: 1494 bytes capturados, 1494 bytes no fio
[23:39:25] Pacote #21: 1494 bytes capturados, 1494 bytes no fio
[23:39:25] Pacote #22: 94 bytes capturados, 94 bytes no fio
[23:39:25] Pacote #23: 1238 bytes capturados, 1238 bytes no fio
[23:39:25] Pacote #24: 1490 bytes capturados, 1490 bytes no fio
[23:39:25] Pacote #25: 1490 bytes capturados, 1490 bytes no fio
[23:39:25] Pacote #26: 1490 bytes capturados, 1490 bytes no fio
[23:39:25] Pacote #27: 1490 bytes capturados, 1490 bytes no fio
[23:39:25] Pacote #28: 1490 bytes capturados, 1490 bytes no fio
[23:39:25] Pacote #29: 1490 bytes capturados, 1490 bytes no fio
[23:39:25] Pacote #30: 159 bytes capturados, 159 bytes no fio
[23:39:25] Pacote #31: 142 bytes capturados, 142 bytes no fio
[23:39:25] Pacote #32: 86 bytes capturados, 86 bytes no fio
[23:39:25] Pacote #33: 66 bytes capturados, 66 bytes no fio
[23:39:25] Pacote #34: 66 bytes capturados, 66 bytes no fio
[23:39:25] Pacote #35: 66 bytes capturados, 66 bytes no fio
[23:39:25] Pacote #36: 66 bytes capturados, 66 bytes no fio
[23:39:25] Pacote #37: 66 bytes capturados, 66 bytes no fio
[23:39:25] Pacote #38: 1490 bytes capturados, 1490 bytes no fio
[23:39:25] Pacote #39: 1490 bytes capturados, 1490 bytes no fio
[23:39:25] Pacote #40: 1490 bytes capturados, 1490 bytes no fio
[23:39:25] Pacote #41: 1490 bytes capturados, 1490 bytes no fio
[23:39:25] Pacote #42: 1490 bytes capturados, 1490 bytes no fio
[23:39:25] Pacote #43: 1490 bytes capturados, 1490 bytes no fio
[23:39:25] Pacote #44: 66 bytes capturados, 66 bytes no fio
[23:39:25] Pacote #45: 66 bytes capturados, 66 bytes no fio
[23:39:25] Pacote #46: 1490 bytes capturados, 1490 bytes no fio
[23:39:25] Pacote #47: 1124 bytes capturados, 1124 bytes no fio
[23:39:25] Pacote #48: 232 bytes capturados, 232 bytes no fio
[23:39:25] Pacote #49: 97 bytes capturados, 97 bytes no fio
[23:39:25] Pacote #50: 66 bytes capturados, 66 bytes no fio
[23:39:25] Pacote #51: 66 bytes capturados, 66 bytes no fio
[23:39:25] Pacote #52: 66 bytes capturados, 66 bytes no fio
[23:39:25] Pacote #53: 114 bytes capturados, 114 bytes no fio
[23:39:25] Pacote #54: 66 bytes capturados, 66 bytes no fio
[23:39:25] Pacote #55: 66 bytes capturados, 66 bytes no fio
[23:39:25] Pacote #56: 114 bytes capturados, 114 bytes no fio
[23:39:25] Pacote #57: 66 bytes capturados, 66 bytes no fio
[23:39:25] Pacote #58: 50 bytes capturados, 50 bytes no fio
[23:39:25] Pacote #59: 50 bytes capturados, 50 bytes no fio
[23:39:26] Pacote #60: 528 bytes capturados, 528 bytes no fio
[23:39:26] Pacote #61: 66 bytes capturados, 66 bytes no fio
[23:39:26] Pacote #62: 528 bytes capturados, 528 bytes no fio
[23:39:26] Pacote #63: 66 bytes capturados, 66 bytes no fio
[23:39:26] Pacote #64: 94 bytes capturados, 94 bytes no fio
[23:39:27] Pacote #65: 94 bytes capturados, 94 bytes no fio
[23:39:28] Pacote #66: 94 bytes capturados, 94 bytes no fio
[23:39:29] Pacote #67: 91 bytes capturados, 91 bytes no fio
[23:39:29] Pacote #68: 95 bytes capturados, 95 bytes no fio
[23:39:29] Pacote #69: 94 bytes capturados, 94 bytes no fio
[23:39:30] Pacote #70: 94 bytes capturados, 94 bytes no fio
[23:39:30] Pacote #71: 102 bytes capturados, 102 bytes no fio
[23:39:30] Pacote #72: 50 bytes capturados, 50 bytes no fio
[23:39:30] Pacote #73: 50 bytes capturados, 50 bytes no fio
[23:39:31] Pacote #74: 94 bytes capturados, 94 bytes no fio
[23:39:32] Pacote #75: 210 bytes capturados, 210 bytes no fio
[23:39:32] Pacote #76: 66 bytes capturados, 66 bytes no fio
[23:39:32] Pacote #77: 94 bytes capturados, 94 bytes no fio
[23:39:32] Pacote #78: 88 bytes capturados, 88 bytes no fio
[23:39:32] Pacote #79: 88 bytes capturados, 88 bytes no fio
[23:39:32] Pacote #80: 88 bytes capturados, 88 bytes no fio
[23:39:32] Pacote #81: 563 bytes capturados, 563 bytes no fio
[23:39:32] Pacote #82: 66 bytes capturados, 66 bytes no fio
[23:39:32] Pacote #83: 104 bytes capturados, 104 bytes no fio
[23:39:32] Pacote #84: 138 bytes capturados, 138 bytes no fio
[23:39:32] Pacote #85: 116 bytes capturados, 116 bytes no fio
[23:39:32] Pacote #86: 1294 bytes capturados, 1294 bytes no fio
[23:39:32] Pacote #87: 1294 bytes capturados, 1294 bytes no fio
[23:39:32] Pacote #88: 1294 bytes capturados, 1294 bytes no fio
[23:39:33] Pacote #89: 105 bytes capturados, 105 bytes no fio
[23:39:33] Pacote #90: 105 bytes capturados, 105 bytes no fio
[23:39:33] Pacote #91: 1518 bytes capturados, 2526 bytes no fio
[23:39:33] Pacote #92: 1294 bytes capturados, 1294 bytes no fio
[23:39:33] Pacote #93: 102 bytes capturados, 102 bytes no fio
[23:39:33] Pacote #94: 1294 bytes capturados, 1294 bytes no fio
[23:39:33] Pacote #95: 86 bytes capturados, 86 bytes no fio
[23:39:33] Pacote #96: 86 bytes capturados, 86 bytes no fio
[23:39:33] Pacote #97: 86 bytes capturados, 86 bytes no fio
[23:39:33] Pacote #98: 1294 bytes capturados, 1294 bytes no fio
[23:39:33] Pacote #99: 1294 bytes capturados, 1294 bytes no fio
[23:39:33] Pacote #100: 1294 bytes capturados, 1294 bytes no fio
[23:39:33] Pacote #101: 86 bytes capturados, 86 bytes no fio
[23:39:33] Pacote #102: 86 bytes capturados, 86 bytes no fio
[23:39:33] Pacote #103: 94 bytes capturados, 94 bytes no fio
[23:39:33] Pacote #104: 1294 bytes capturados, 1294 bytes no fio
[23:39:33] Pacote #105: 102 bytes capturados, 102 bytes no fio
[23:39:33] Pacote #106: 136 bytes capturados, 136 bytes no fio
[23:39:33] Pacote #107: 102 bytes capturados, 102 bytes no fio
[23:39:33] Pacote #108: 114 bytes capturados, 114 bytes no fio
[23:39:33] Pacote #109: 138 bytes capturados, 138 bytes no fio
[23:39:33] Pacote #110: 150 bytes capturados, 150 bytes no fio
[23:39:33] Pacote #111: 1294 bytes capturados, 1294 bytes no fio
[23:39:33] Pacote #112: 102 bytes capturados, 102 bytes no fio
[23:39:33] Pacote #113: 1294 bytes capturados, 1294 bytes no fio
[23:39:33] Pacote #114: 1294 bytes capturados, 1294 bytes no fio
[23:39:33] Pacote #115: 1294 bytes capturados, 1294 bytes no fio
[23:39:33] Pacote #116: 94 bytes capturados, 94 bytes no fio
[23:39:33] Pacote #117: 148 bytes capturados, 148 bytes no fio
[23:39:33] Pacote #118: 1518 bytes capturados, 2808 bytes no fio
[23:39:33] Pacote #119: 707 bytes capturados, 707 bytes no fio
[23:39:33] Pacote #120: 86 bytes capturados, 86 bytes no fio
[23:39:33] Pacote #121: 1518 bytes capturados, 2526 bytes no fio
[23:39:33] Pacote #122: 1294 bytes capturados, 1294 bytes no fio
[23:39:33] Pacote #123: 1294 bytes capturados, 1294 bytes no fio
[23:39:33] Pacote #124: 974 bytes capturados, 974 bytes no fio
[23:39:33] Pacote #125: 1494 bytes capturados, 1494 bytes no fio
[23:39:33] Pacote #126: 1025 bytes capturados, 1025 bytes no fio
[23:39:33] Pacote #127: 1294 bytes capturados, 1294 bytes no fio
[23:39:33] Pacote #128: 88 bytes capturados, 88 bytes no fio
[23:39:33] Pacote #129: 1294 bytes capturados, 1294 bytes no fio
[23:39:33] Pacote #130: 1294 bytes capturados, 1294 bytes no fio
